diag_t	n
c("F1000", "R451", "Z6030", "Z590", "F29")	6
c("F141", "R458", "F209", "Z911")	6
c("F200", "F259", "R33", "E1198", "I10", "E039", "Z911", "F172", "R460")	6
c("F200", "F322")	6
c("F200", "H540", "H409", "R451")	6
c("F200", "R11")	6
c("F200", "R456", "F229", "R001")	6
c("F2000", "F200")	6
c("F2088", "M62800", "E86")	6
c("F220", "D509")	6
c("F220", "F231")	6
c("F231", "R104", "Z734")	6
c("F232", "F411")	6
c("F250", "F172", "F120")	6
c("F250", "F200")	6
c("F259", "F228", "F1925", "Y911")	6
c("F259", "R000", "F122")	6
c("F259", "Z751")	6
c("F29", "F940")	6
c("F29", "Z590", "F121", "F101")	6
c("F29", "Z6030")	6
c("F302", "Z911")	6
c("F3020", "R440")	6
c("F3020", "R53+2")	6
c("F309", "Z911", "F319", "R468", "I872")	6
c("F311", "E8768")	6
c("F312", "F102", "G470", "F122", "F172")	6
c("F312", "I471", "R652")	6
c("F312", "L662")	6
c("F312", "N179", "N189")	6
c("F313", "Z911")	6
c("F3130", "X610", "T424")	6
c("F316", "Z911", "S711", "X789", "F603")	6
c("F319", "F312")	6
c("F320", "Z5913", "F123", "Z633")	6
c("F321", "R455", "X785", "S517")	6
c("F321", "T391", "X600")	6
c("F321", "Y150")	6
c("F321", "Z634")	6
c("F3210", "E039", "I10")	6
c("F3210", "F101")	6
c("F3211", "F609", "F411")	6
c("F322", "F630", "E1198", "Z630", "Z590", "F1024")	6
c("F322", "R464", "F419")	6
c("F322", "Z9158")	6
c("F323", "D571", "R51")	6
c("F329", "F1925")	6
c("F329", "F419")	6
c("F329", "T509", "X640", "F6030")	6
c("F329", "X610", "T432")	6
c("F332", "F6031")	6
c("F333", "F228", "F419", "F603")	6
c("F411", "F321")	6
c("F412", "Z630", "X610", "T424")	6
c("F430", "R460")	6
c("F430", "Z9150", "Z630")	6
c("F432", "F609")	6
c("F688", "E872", "I671", "R440", "R441", "R64", "E86")	6
c("F919", "F209")	6
c("F989", "R456", "R451")	6
c("T424", "X610")	6
F019	5
F058	5
F078	5
F105	5
F1051	5
F128	5
F130	5
F192	5
F2099	5
F2311	5
F2391	5
F24	5
F330	5
F3310	5
F3311	5
F402	5
F451	5
F708	5
F848	5
c("F03+02", "R451")	5
c("F058", "F200")	5
c("F059", "F29")	5
c("F100", "F200")	5
c("F100", "R458")	5
c("F102", "F319")	5
c("F118", "F1030", "F103", "F329")	5
c("F121", "F313")	5
c("F200", "E6695")	5
c("F200", "G470", "R440")	5
c("F200", "K509")	5
c("F200", "R073")	5
c("F200", "R442", "Z6030", "F39", "F29")	5
c("F200", "R4818", "R464")	5
c("F200", "Z290")	5
c("F200", "Z911", "F120", "F102")	5
c("F200", "Z911", "F121", "R451")	5
c("F2000", "E149")	5
c("F2000", "I251")	5
c("F206", "E1190")	5
c("F209", "F220", "Z911", "R460")	5
c("F209", "F259")	5
c("F209", "F309")	5
c("F209", "R440", "R451")	5
c("F209", "R443")	5
c("F220", "F3800")	5
c("F220", "I498")	5
c("F220", "R443")	5
c("F220", "Z9150")	5
c("F2301", "F1203", "I10", "R634")	5
c("F231", "F232")	5
c("F231", "R451")	5
c("F231", "Z911", "F101", "F121", "S619", "S910", "X789")	5
c("F2310", "R400", "R471")	5
c("F232", "E039")	5
c("F232", "F919")	5
c("F2321", "F230")	5
c("F250", "F100")	5
c("F250", "R451")	5
c("F252", "F121", "F101", "R458", "F602")	5
c("F252", "Z911", "F4322")	5
c("F258", "Z590", "X849", "S610")	5
c("F259", "F131", "Z911")	5
c("F29", "F1201", "R440")	5
c("F29", "F200", "F602")	5
c("F29", "F220", "F419", "F172")	5
c("F29", "F323")	5
c("F302", "F220")	5
c("F310", "R400", "K590", "K088", "Y450")	5
c("F311", "R455")	5
c("F312", "E162")	5
c("F312", "F69")	5
c("F313", "F411")	5
c("F3131", "F252")	5
c("F314", "F4322")	5
c("F314", "Z911", "X780", "S517", "B24+0", "X610", "T470")	5
c("F315", "X610", "F411", "T424", "T435", "F845")	5
c("F316", "F6031")	5
c("F319", "E6695", "R451")	5
c("F319", "Z911")	5
c("F321", "E1198", "C900", "F4302")	5
c("F321", "F101", "F609")	5
c("F321", "F102")	5
c("F321", "F102", "X610", "T424")	5
c("F321", "F191", "F100")	5
c("F321", "F200")	5
c("F321", "F410")	5
c("F321", "R452")	5
c("F321", "R462")	5
c("F321", "X610", "T432")	5
c("F321", "X619", "T424")	5
c("F321", "Z631", "F121")	5
c("F321", "Z9158")	5
c("F322", "F102")	5
c("F322", "F603")	5
c("F322", "F940")	5
c("F322", "G470", "X600", "T391")	5
c("F322", "T009", "X800")	5
c("F322", "T432", "X610", "T424")	5
c("F322", "Z911", "F209")	5
c("F323", "F03", "F3800")	5
c("F323", "F102", "F172")	5
c("F323", "F191")	5
c("F323", "R440")	5
c("F328", "G409", "F6030")	5
c("F329", "F29")	5
c("F329", "F322")	5
c("F329", "F432")	5
c("F329", "Z566", "F430", "Z9150", "F69")	5
c("F329", "Z911")	5
c("F329", "Z9158")	5
c("F332", "Z630")	5
c("F411", "R458")	5
c("F412", "Z9150", "R630", "R634")	5
c("F419", "F200")	5
c("F419", "F319")	5
c("F419", "F3211")	5
c("F419", "Z751", "Z6028", "R458")	5
c("F430", "F233")	5
c("F430", "F411")	5
c("F430", "F6031")	5
c("F430", "Z651", "X619", "T426", "F141", "F121", "F101")	5
c("F4302", "F609")	5
c("F4302", "T543", "X691", "F718", "F321")	5
c("F432", "Z630")	5
c("F59", "F2320")	5
c("F6031", "F321", "R458")	5
c("F6031", "F431", "R451", "Z735", "Z638")	5
c("F609", "F430")	5
c("F609", "X849")	5
c("F609", "Z590", "F121", "F101")	5
c("F688", "F309")	5
c("F688", "F419")	5
c("F919", "F100", "S011", "R451", "Z911", "G240", "Y495", "F209", "F302")	5
c("F919", "F209", "Y495", "G240", "Z911", "R451", "S011", "F100", "F302")	5
c("F928", "F419", "F840")	5
c("F940", "D509", "F488", "R460", "R458", "F220")	5
c("F989", "R451")	5
c("R413", "F419")	5
c("R458", "X610", "T424")	5
c("R458", "Z532")	5
c("T424", "X619")	5
F104	4
F1103	4
F113	4
F1203	4
F1230	4
F199	4
F228	4
F2331	4
F2590	4
F381	4
F413	4
F421	4
F438	4
F450	4
F519	4
F600	4
F720	4
F791	4
F88	4
F920	4
F988	4
R418	4
Z9150	4
c("F100", "F3210")	4
c("F100", "F339", "R458")	4
c("F100", "Y911")	4
c("F100", "Z9150")	4
c("F101", "F323")	4
c("F102", "F231", "F172", "F120", "F160")	4
c("F1024", "F220")	4
c("F1030", "F323")	4
c("F104", "R440")	4
c("F1224", "F311")	4
c("F125", "F200")	4
c("F1407", "F3210")	4
c("F190", "F200")	4
c("F200", "E1130", "H360", "F231")	4
c("F200", "F078", "F03")	4
c("F200", "F202")	4
c("F200", "F310")	4
c("F200", "F919")	4
c("F200", "R410")	4
c("F200", "R462")	4
c("F200", "R51")	4
c("F200", "Z911", "X610", "T424")	4
c("F2000", "F122", "I872", "Z911", "R460")	4
c("F2000", "F232", "F919")	4
c("F2000", "F258")	4
c("F2000", "R455", "R460", "Z590")	4
c("F2004", "F172")	4
c("F2004", "F192")	4
c("F201", "Y150")	4
c("F203", "Z911")	4
c("F206", "F239")	4
c("F209", "F100", "R451", "Z911")	4
c("F209", "F431", "F199")	4
c("F209", "M543")	4
c("F209", "R634", "L030", "G470", "F120")	4
c("F209", "X610", "T424")	4
c("F209", "Z590")	4
c("F209", "Z9150")	4
c("F21", "F200")	4
c("F220", "F102", "G621")	4
c("F220", "F2320")	4
c("F220", "F3020")	4
c("F220", "F711")	4
c("F220", "R440", "R458")	4
c("F220", "R451")	4
c("F220", "T439", "X610")	4
c("F220", "Z6030", "R451")	4
c("F229", "F100")	4
c("F230", "F121")	4
c("F230", "R440")	4
c("F2301", "R451")	4
c("F231", "F120")	4
c("F231", "R443")	4
c("F2310", "F29")	4
c("F232", "F120", "R451")	4
c("F232", "F231")	4
c("F232", "R451")	4
c("F250", "F172")	4
c("F250", "Z911", "X619", "T433")	4
c("F2500", "F200")	4
c("F251", "T433", "T435", "X610")	4
c("F251", "Z9150")	4
c("F259", "F122", "G409", "F609")	4
c("F259", "X619", "T424")	4
c("F29", "F1924")	4
c("F29", "R440")	4
c("F29", "R443")	4
c("F29", "Z911")	4
c("F29", "Z911", "F172")	4
c("F301", "F3020", "F3021")	4
c("F302", "F311")	4
c("F3021", "F259")	4
c("F309", "F03")	4
c("F309", "F250", "F308")	4
c("F309", "F301")	4
c("F310", "K701", "F101", "Z911", "X610", "T424")	4
c("F310", "R53+2")	4
c("F311", "K590")	4
c("F312", "F2000")	4
c("F312", "F309")	4
c("F312", "I428", "G710", "F12241", "R456", "F603", "Z911")	4
c("F312", "R410")	4
c("F312", "Z631", "Z911", "U089")	4
c("F313", "F608")	4
c("F313", "X610", "T424")	4
c("F314", "F102")	4
c("F319", "R440")	4
c("F320", "F430")	4
c("F3201", "F3210")	4
c("F321", "F122", "F609")	4
c("F321", "F29")	4
c("F321", "F314")	4
c("F321", "F323")	4
c("F321", "F6030")	4
c("F321", "R455", "F609")	4
c("F321", "R460", "Z5913", "F200")	4
c("F321", "S311", "X780", "F607")	4
c("F321", "T391", "X600", "Z630")	4
c("F321", "X610", "T424", "F6031")	4
c("F321", "X610", "T432", "F101")	4
c("F321", "Z6028", "Z652")	4
c("F321", "Z630", "X600", "T391")	4
c("F321", "Z911", "Z9150")	4
c("F3210", "F322")	4
c("F3210", "F419")	4
c("F3210", "F419", "R458")	4
c("F3210", "T424", "X610")	4
c("F3211", "F131", "T424", "X610")	4
c("F322", "F141", "S517", "S717", "X789")	4
c("F322", "G473", "I10")	4
c("F322", "G819", "I694")	4
c("F322", "R456", "R413")	4
c("F322", "R458")	4
c("F322", "S817", "X789")	4
c("F322", "X600", "T393")	4
c("F322", "X610", "T433")	4
c("F322", "X610", "T435", "T424")	4
c("F322", "X620", "T402", "F111", "X600", "T391")	4
c("F322", "X640", "T381", "X600", "T391")	4
c("F322", "X780", "S517")	4
c("F322", "X780", "S519", "X610", "T432")	4
c("F322", "X849")	4
c("F323", "F113")	4
c("F323", "R458")	4
c("F323", "S411", "F508", "F120", "F172", "X780", "F100")	4
c("F323", "Y150", "F430")	4
c("F3230", "R442")	4
c("F329", "F102")	4
c("F329", "F411")	4
c("F329", "F700")	4
c("F329", "R634")	4
c("F329", "X619", "T424")	4
c("F331", "F101", "X619", "T424")	4
c("F331", "X610", "T435", "T433", "T424", "F6031")	4
c("F332", "Z9150")	4
c("F3800", "X610", "T424")	4
c("F410", "X610", "T424")	4
c("F411", "F230")	4
c("F411", "Z6020", "X610", "T435")	4
c("F412", "F322")	4
c("F412", "F430", "F6031")	4
c("F412", "F6031", "Z630", "X610", "T424")	4
c("F412", "X600", "T393")	4
c("F412", "Z911")	4
c("F419", "T424", "X610")	4
c("F419", "Z630", "Z9150")	4
c("F430", "F29")	4
c("F430", "F603")	4
c("F430", "T009", "Y070", "T741", "F331")	4
c("F430", "T391", "X600")	4
c("F430", "T743", "X610", "T424", "F322")	4
c("F430", "Z630", "X600", "T391")	4
c("F430", "Z631", "Z9150")	4
c("F430", "Z634")	4
c("F4301", "F609")	4
c("F4302", "F220", "F29")	4
c("F4302", "Z630")	4
c("F432", "F411")	4
c("F432", "F430")	4
c("F432", "T424", "X610")	4
c("F59", "F129")	4
c("F59", "F200")	4
c("F602", "F209")	4
c("F603", "F101", "S501", "X849")	4
c("F6030", "F3201")	4
c("F6030", "Z9150")	4
c("F6031", "F24")	4
c("F6031", "S517", "X780")	4
c("F609", "F6031")	4
c("F609", "R452")	4
c("F609", "T424", "X610", "S519")	4
c("F609", "X619", "T433")	4
c("F609", "Z9150")	4
c("F688", "R462")	4
c("F701", "F321")	4
c("R410", "B24+9")	4
c("R410", "F301", "H813")	4
c("R440", "F29")	4
c("R440", "Z590")	4
c("R451", "F102", "F103")	4
c("R451", "F790")	4
c("R451", "F989")	4
c("R451", "G819", "T905", "F070")	4
c("R451", "N410", "Z590")	4
c("R451", "Z590", "R33", "R455", "L023")	4
c("R451", "Z6030")	4
c("R455", "F840")	4
c("R458", "F100")	4
c("R458", "F329")	4
c("R458", "X619", "T424")	4
c("R458", "Z631")	4
c("R458", "Z9158")	4
c("R462", "N185")	4
c("R462", "R460", "Z590")	4
F050	3
F1001	3
F1003	3
F1130	3
F1200	3
F121	3
F1251	3
F129	3
F1430	3
F1905	3
F1951	3
F205	3
F408	3
F428	3
F4328	3
F799	3
F900	3
R53+1	3
T424	3
T439	3
c("F03", "F209")	3
c("F03", "R460", "F28")	3
c("F050", "F3130")	3
c("F059", "G403")	3
c("F061", "F439", "F949")	3
c("F062", "R410")	3
c("F078", "F03+42")	3
c("F100", "F101")	3
c("F100", "F140")	3
c("F100", "F2000")	3
c("F100", "F319")	3
c("F100", "R451", "F259")	3
c("F1007", "F321", "F6030")	3
c("F101", "F100")	3
c("F101", "F321")	3
c("F101", "F3210", "F411")	3
c("F101", "F609")	3
c("F102", "F100")	3
c("F102", "Z9150")	3
c("F103", "F100")	3
c("F1030", "F321", "R53+0")	3
c("F105", "Z590")	3
c("F109", "F03")	3
c("F109", "Y150", "F100")	3
c("F120", "F100")	3
c("F120", "F209", "R451")	3
c("F120", "F602")	3
c("F120", "R410", "R400", "Z590", "R440")	3
c("F121", "F200")	3
c("F123", "R104")	3
c("F124", "F3120")	3
c("F1250", "Z590", "Z911")	3
c("F127", "F2000")	3
c("F148", "F321")	3
c("F160", "F2089")	3
c("F1900", "F301")	3
c("F200", "B86")	3
c("F200", "F100", "F102", "F122")	3
c("F200", "F141", "F121", "F101")	3
c("F200", "F419")	3
c("F200", "F419", "F101", "F121", "Z590")	3
c("F200", "R002")	3
c("F200", "R455", "Z941", "Z992+0", "N185")	3
c("F200", "V289", "S361")	3
c("F200", "X619", "T424", "F121")	3
c("F200", "Z590")	3
c("F200", "Z911", "S8280", "Z9150")	3
c("F200", "Z911", "Z992+0", "N185", "R601", "B24+1")	3
c("F2000", "F302", "E109")	3
c("F2000", "R451", "F100")	3
c("F2000", "S119", "X780")	3
c("F2000", "Z590", "Z911", "F140")	3
c("F2000", "Z911")	3
c("F2001", "F200")	3
c("F2001", "Y150")	3
c("F2008", "F200")	3
c("F202", "R440", "F259", "N10", "B962", "E8718", "D648", "E890", "E8760")	3
c("F203", "F209", "F322")	3
c("F203", "Z911", "X780", "S519")	3
c("F209", "F100")	3
c("F209", "F2008")	3
c("F209", "F323")	3
c("F209", "F602", "R458")	3
c("F209", "X610", "T432", "T435")	3
c("F209", "Z590", "Z911")	3
c("F209", "Z751", "F122")	3
c("F220", "F03")	3
c("F220", "F1925")	3
c("F220", "F2000")	3
c("F220", "F321")	3
c("F220", "F4302")	3
c("F220", "Q871")	3
c("F220", "R442")	3
c("F220", "R462")	3
c("F220", "S4220")	3
c("F229", "F200")	3
c("F229", "F602")	3
c("F229", "R451")	3
c("F230", "F231")	3
c("F230", "F919")	3
c("F231", "R53+2")	3
c("F231", "Z719")	3
c("F231", "Z940", "Z911")	3
c("F2311", "F252")	3
c("F2311", "Q923")	3
c("F232", "F209", "R443")	3
c("F232", "F2090")	3
c("F232", "F29")	3
c("F2320", "F229")	3
c("F2320", "I10", "R400")	3
c("F233", "F220")	3
c("F233", "F99")	3
c("F239", "T590", "F1803")	3
c("F250", "F101")	3
c("F250", "F239")	3
c("F250", "Z911")	3
c("F250", "Z911", "R739")	3
c("F250", "Z911", "S0220", "R568")	3
c("F2501", "F2000", "Z911")	3
c("F2501", "F309", "R451")	3
c("F251", "Z911")	3
c("F2510", "F1530")	3
c("F259", "E1198")	3
c("F259", "F100", "F120", "G470")	3
c("F259", "Z590")	3
c("F28", "F312")	3
c("F29", "F192")	3
c("F29", "F203")	3
c("F29", "F430", "F609")	3
c("F29", "F99")	3
c("F302", "F209")	3
