diag_t	n
c("F430", "R454", "F102", "F349")	3
c("F430", "X600", "T391", "Z553", "F3200")	3
c("F430", "X615", "T424", "Z5913")	3
c("F430", "Y060")	3
c("F430", "Y150")	3
c("F430", "Z028")	3
c("F430", "Z630", "X609", "T391")	3
c("F430", "Z638", "Z9150")	3
c("F430", "Z9150", "R440", "F603")	3
c("F4302", "F059")	3
c("F4302", "F21")	3
c("F4302", "F711")	3
c("F431", "D570")	3
c("F431", "F200", "X620", "X600", "T391", "T402")	3
c("F431", "F2391")	3
c("F431", "F322")	3
c("F431", "Z9150", "F329")	3
c("F432", "F321")	3
c("F432", "F6031")	3
c("F432", "G35", "F03", "R410", "F339")	3
c("F432", "R443")	3
c("F432", "T743", "Z9150", "F718")	3
c("F4321", "F609")	3
c("F4322", "F609")	3
c("F4324", "F840")	3
c("F509", "T391", "T400", "X600")	3
c("F530", "X610", "T426", "F329")	3
c("F602", "F329")	3
c("F603", "F121", "F132", "F141", "F101")	3
c("F603", "T424", "X610")	3
c("F603", "X610", "T435")	3
c("F6030", "R460", "X640", "T509", "F102")	3
c("F6030", "X600", "T391")	3
c("F6030", "X610", "T424")	3
c("F6031", "F331")	3
c("F6031", "F432")	3
c("F6031", "R440", "Z911")	3
c("F6031", "X619", "T424")	3
c("F6031", "X619", "T435", "T424")	3
c("F607", "F321", "F329", "F431")	3
c("F609", "F131")	3
c("F609", "F199", "Z911")	3
c("F609", "F321")	3
c("F609", "T424", "X610")	3
c("F609", "Z590", "F191")	3
c("F688", "F200")	3
c("F688", "F230")	3
c("F688", "F6031", "F54", "F259", "Y458", "F454", "G932")	3
c("F688", "R451")	3
c("F688", "R451", "E162", "R001")	3
c("F819", "Q998")	3
c("F845", "S109", "X700")	3
c("F848", "F322")	3
c("F849", "F302")	3
c("F909", "R451")	3
c("F918", "F840")	3
c("F919", "F232")	3
c("F919", "T433", "X610")	3
c("F920", "F310")	3
c("R258", "F129", "T590")	3
c("R410", "G409")	3
c("R440", "F230")	3
c("R440", "R441")	3
c("R440", "Z911", "Z590")	3
c("R443", "F312")	3
c("R443", "F718")	3
c("R451", "F209")	3
c("R451", "F711")	3
c("R451", "R458", "F122", "F102")	3
c("R451", "Z6030", "O993", "R455")	3
c("R458", "F602")	3
c("R458", "T424", "X610")	3
c("R458", "Z9150")	3
c("R462", "F718")	3
c("T402", "X629")	3
c("T424", "F322", "F432", "X610")	3
c("Z046", "Z028")	3
F0221	2
F0280	2
F03+1	2
F051	2
F1050	2
F1056	2
F1071	2
F108	2
F110	2
F111	2
F112	2
F1151	2
F1207	2
F12201	2
F1224	2
F1240	2
F1252	2
F1253	2
F1275	2
F131	2
F134	2
F1400	2
F142	2
F145	2
F19241	2
F1930	2
F195	2
F1971	2
F2014	2
F2019	2
F204	2
F2060	2
F2061	2
F2093	2
F2094	2
F2510	2
F3231	2
F3301	2
F341	2
F380	2
F442	2
F444	2
F448	2
F449	2
F502	2
F630	2
F681	2
F701	2
F719	2
F913	2
F938	2
R073	2
R442	2
Z630	2
Z730	2
c("F03+0", "F04")	2
c("F050", "F191", "R440")	2
c("F050", "N111")	2
c("F058", "F321")	2
c("F059", "F412")	2
c("F059", "R443")	2
c("F059", "R455", "F429")	2
c("F061", "F202")	2
c("F061", "R410", "F338")	2
c("F061", "R53+0")	2
c("F062", "F200")	2
c("F078", "E1198", "R440")	2
c("F078", "F718", "X610", "T435")	2
c("F078", "G20")	2
c("F100", "F3120")	2
c("F100", "F329")	2
c("F100", "F329", "F411")	2
c("F100", "F430")	2
c("F100", "R53+2", "F321")	2
c("F100", "S109", "X701")	2
c("F100", "T400", "X600", "T391")	2
c("F100", "X700")	2
c("F100", "X780", "S311", "S117")	2
c("F100", "Z638", "X610", "T424")	2
c("F100", "Z911", "F329", "F102")	2
c("F100", "Z9158")	2
c("F1000", "Y150")	2
c("F1002", "R104")	2
c("F101", "F102")	2
c("F101", "R522")	2
c("F102", "F059")	2
c("F102", "F609")	2
c("F102", "T424", "X610")	2
c("F10200", "R452")	2
c("F1025", "F059")	2
c("F104", "F103")	2
c("F109", "X619", "T432", "F4323")	2
c("F120", "F122", "F102", "R451", "F100")	2
c("F120", "R443")	2
c("F120", "R451", "Z655", "F6031")	2
c("F121", "F609")	2
c("F122", "F321")	2
c("F1220", "F2301")	2
c("F1224", "Z532", "Z9150")	2
c("F1256", "F798")	2
c("F130", "F132")	2
c("F130", "F412", "F322")	2
c("F130", "F69")	2
c("F131", "F609", "X610", "T424")	2
c("F131", "R51")	2
c("F131", "T424", "X612")	2
c("F132", "F609")	2
c("F134", "Z651")	2
c("F140", "R451")	2
c("F1403", "F100", "Z911", "F200")	2
c("F141", "F101")	2
c("F141", "F609", "F101")	2
c("F141", "R451")	2
c("F150", "R451")	2
c("F1551", "F192")	2
c("F190", "F309")	2
c("F190", "F311")	2
c("F190", "F419")	2
c("F190", "F919")	2
c("F190", "X610", "T424")	2
c("F1940", "F194")	2
c("F1951", "R451")	2
c("F200", "F100")	2
c("F200", "F101")	2
c("F200", "F105")	2
c("F200", "F120", "F100")	2
c("F200", "F122")	2
c("F200", "F2004")	2
c("F200", "F2090")	2
c("F200", "F220", "R529")	2
c("F200", "F232")	2
c("F200", "F259")	2
c("F200", "F2591")	2
c("F200", "F321")	2
c("F200", "F3230")	2
c("F200", "F418")	2
c("F200", "F4302")	2
c("F200", "I269", "C349")	2
c("F200", "L732")	2
c("F200", "R074")	2
c("F200", "R440", "R451")	2
c("F200", "R460")	2
c("F200", "R53+2")	2
c("F200", "S008", "Z630")	2
c("F200", "U089")	2
c("F200", "X718")	2
c("F200", "Z658")	2
c("F200", "Z719")	2
c("F200", "Z911", "F142")	2
c("F200", "Z911", "X800", "S5200", "S510", "S9200", "S8210")	2
c("F200", "Z911", "Z651")	2
c("F200", "Z911", "Z9150")	2
c("F200", "Z9150")	2
c("F200", "Z9158")	2
c("F2000", "F621")	2
c("F2000", "K566")	2
c("F2000", "R443")	2
c("F2000", "R451")	2
c("F2003", "F200")	2
c("F2004", "F321")	2
c("F201", "R440", "Z911")	2
c("F2010", "F200")	2
c("F203", "Y150")	2
c("F2038", "F200", "F259")	2
c("F2040", "F2521")	2
c("F2060", "F329")	2
c("F209", "F3201")	2
c("F209", "F411")	2
c("F209", "F418")	2
c("F209", "K260")	2
c("F209", "L732")	2
c("F209", "N302")	2
c("F209", "R440", "R411")	2
c("F209", "R456", "F100", "F121")	2
c("F209", "R456", "Z911", "R440")	2
c("F209", "R53+0")	2
c("F209", "T393", "X600")	2
c("F209", "X690")	2
c("F209", "X831", "Z5913", "Z604", "Z651", "S019")	2
c("F209", "Z046", "R451")	2
c("F209", "Z532")	2
c("F2090", "F200")	2
c("F220", "F102")	2
c("F220", "F102", "F142")	2
c("F220", "F102", "R443")	2
c("F220", "F121", "F609")	2
c("F220", "F2004")	2
c("F220", "F309")	2
c("F220", "F602", "F6030")	2
c("F220", "F798", "R441")	2
c("F220", "F99", "F2591")	2
c("F220", "R410")	2
c("F220", "R410", "R441")	2
c("F220", "R441")	2
c("F220", "R455")	2
c("F220", "X640", "T375")	2
c("F220", "Z032")	2
c("F229", "F230")	2
c("F229", "F99")	2
c("F230", "F100")	2
c("F230", "F200")	2
c("F230", "F2001")	2
c("F230", "F302")	2
c("F230", "F320")	2
c("F2301", "F200")	2
c("F231", "F209")	2
c("F231", "F609")	2
c("F231", "R451", "F220")	2
c("F231", "Z911")	2
c("F232", "S5220")	2
c("F232", "Y150")	2
c("F232", "Z911")	2
c("F232", "Z911", "F121", "R451")	2
c("F2321", "F3800")	2
c("F2321", "R451")	2
c("F233", "F120", "Z6030")	2
c("F233", "F220", "Z911")	2
c("F233", "R456")	2
c("F2331", "Z9158")	2
c("F2381", "G470")	2
c("F2391", "Z911")	2
c("F250", "E1198", "E6696", "F200")	2
c("F250", "F302")	2
c("F250", "Z590", "F122", "F209")	2
c("F251", "F100", "F120")	2
c("F251", "F39")	2
c("F251", "X610", "T424")	2
c("F251", "X610", "T435", "T424")	2
c("F251", "X620", "X600", "T391", "T402")	2
c("F251", "Z634", "T424", "X610")	2
c("F2511", "R53+1")	2
c("F258", "F432")	2
c("F259", "F413")	2
c("F259", "R410")	2
c("F259", "X615", "T432", "T424")	2
c("F28", "F2311")	2
c("F28", "F419")	2
c("F28", "R451", "Z911")	2
c("F28", "Z590", "Z911")	2
c("F28", "Z608")	2
c("F29", "E8768")	2
c("F29", "F120")	2
c("F29", "F122")	2
c("F29", "F190")	2
c("F29", "F2000")	2
c("F29", "F229")	2
c("F29", "F230")	2
c("F29", "F2330")	2
c("F29", "F28")	2
c("F29", "F300")	2
c("F29", "F3201")	2
c("F29", "F3210")	2
c("F29", "F329")	2
c("F29", "F411")	2
c("F29", "F430", "F321")	2
c("F29", "F430", "F39")	2
c("F29", "F431")	2
c("F29", "F798")	2
c("F29", "F799")	2
c("F29", "R442")	2
c("F29", "R455")	2
c("F29", "R456")	2
c("F29", "T796", "G240")	2
c("F29", "X610", "T435", "F339")	2
c("F29", "X669", "T524")	2
c("F29", "X718", "T68+8")	2
c("F29", "Z590", "Z911", "F121")	2
c("F29", "Z711")	2
c("F29", "Z865")	2
c("F300", "F209")	2
c("F300", "F3020")	2
c("F300", "G470")	2
c("F300", "Z719")	2
c("F301", "F302", "F3120")	2
c("F301", "F309")	2
c("F301", "F3120", "F302")	2
c("F301", "Z911", "Z359", "O993")	2
c("F302", "F238")	2
c("F302", "F29")	2
c("F302", "F310")	2
c("F302", "F312")	2
c("F3020", "R296")	2
c("F3020", "R53+1")	2
c("F309", "F200")	2
c("F309", "F230")	2
c("F309", "F312")	2
c("F309", "F319")	2
c("F309", "F609")	2
c("F310", "F3020")	2
c("F310", "F319")	2
c("F310", "F419")	2
c("F311", "X610", "T424")	2
c("F312", "F200")	2
c("F312", "F2501")	2
c("F312", "F252")	2
c("F312", "F419")	2
c("F312", "F430")	2
c("F312", "F6030")	2
c("F312", "R073")	2
c("F312", "R456", "A46")	2
c("F312", "T149")	2
c("F312", "Z532")	2
c("F312", "Z6030", "R400", "A040", "Y495", "T435")	2
c("F3120", "R441")	2
c("F313", "F101")	2
c("F313", "F1024")	2
c("F313", "F3210")	2
c("F313", "F323")	2
c("F313", "F419")	2
c("F313", "F419", "T424", "X610")	2
c("F313", "F6031", "Z911", "T424", "X610")	2
c("F313", "N183", "N179")	2
c("F313", "R458")	2
c("F313", "T424", "X610")	2
c("F313", "X600", "T391")	2
c("F313", "X610", "T433")	2
c("F313", "X630", "T447")	2
c("F313", "Z9150")	2
c("F3130", "F252")	2
c("F3130", "Z630", "X600", "T424")	2
c("F314", "E8358")	2
c("F314", "F322")	2
c("F314", "T439", "X610")	2
c("F314", "X780", "Z630", "F419", "S619")	2
c("F314", "Z630", "Z9150", "F101")	2
c("F3151", "F3800")	2
c("F316", "F322")	2
c("F316", "Z630", "Z911", "Z9150")	2
c("F319", "F259")	2
c("F319", "R451")	2
c("F319", "R53+2")	2
c("F319", "T433", "X6109")	2
c("F319", "X609", "T391")	2
c("F320", "F101")	2
c("F320", "F29")	2
c("F320", "F321")	2
c("F320", "F323")	2
c("F320", "F419")	2
c("F320", "F432")	2
c("F320", "F609")	2
c("F320", "R451")	2
c("F320", "X830")	2
c("F320", "Z630", "G454", "F604", "V496")	2
c("F320", "Z634")	2
c("F3200", "F250")	2
c("F3200", "F3800")	2
c("F3200", "F4301")	2
c("F3200", "F504")	2
c("F3200", "R458")	2
c("F3201", "F102", "F100")	2
c("F3201", "T796", "T435", "X610", "Z6020", "J690")	2
c("F3201", "Y060", "T424", "X610", "F122", "F100")	2
c("F3201", "Z9150")	2
c("F321", "F100", "F431")	2
c("F321", "F101", "F141", "X640", "T450")	2
c("F321", "F101", "X619", "T424")	2
c("F321", "F1025")	2
c("F321", "F121")	2
c("F321", "F122", "R451")	2
c("F321", "F140", "X619", "T424")	2
c("F321", "F331")	2
c("F321", "F419", "F6031")	2
c("F321", "F419", "X610", "T424")	2
c("F321", "F430", "Z630")	2
c("F321", "F4300")	2
c("F321", "F4301")	2
c("F321", "F431", "R51")	2
c("F321", "F509")	2
c("F321", "F603")	2
c("F321", "F6031", "F199", "X619", "T433", "T424")	2
c("F321", "F609", "X610", "T424")	2
c("F321", "F711")	2
c("F321", "F799")	2
c("F321", "G409", "F067", "X610", "T424")	2
c("F321", "G479")	2
c("F321", "J441", "F100")	2
c("F321", "M5412", "X700", "S100")	2
c("F321", "R400", "Z630", "X610", "T424")	2
c("F321", "R466")	2
c("F321", "R630")	2
c("F321", "S101", "X780")	2
c("F321", "S619", "F102", "F142", "F122", "Z590", "T424", "X614", "X784")	2
c("F321", "T391", "X609")	2
c("F321", "T393", "X600")	2
c("F321", "T424")	2
c("F321", "T424", "X610", "F419")	2
c("F321", "T424", "X610", "S519", "X780")	2
c("F321", "T424", "X619")	2
c("F321", "T465")	2
c("F321", "X100", "T424")	2
c("F321", "X600", "T393")	2
c("F321", "X600", "T424")	2
c("F321", "X610", "T427")	2
c("F321", "X610", "T430")	2
c("F321", "X610", "T435")	2
c("F321", "X610", "T439")	2
c("F321", "X640", "T455", "X630", "T447")	2
c("F321", "X649", "T509", "F430")	2
c("F321", "X780", "S311")	2
c("F321", "X789", "S619")	2
c("F321", "Z532", "F200")	2
c("F321", "Z598", "X618", "T424", "F101")	2
c("F321", "Z630", "X640", "T479")	2
c("F321", "Z630", "X780", "S411", "F100")	2
c("F321", "Z630", "Z911", "Z9150", "F6030")	2
c("F321", "Z9150", "F69")	2
c("F321", "Z9158", "F141", "F101")	2
c("F3210", "E109")	2
c("F3210", "F100", "X619", "T424")	2
c("F3210", "F181")	2
c("F3210", "F418", "F420")	2
c("F3210", "F530")	2
c("F3210", "F609")	2
c("F3210", "F799")	2
c("F3210", "F99")	2
c("F3210", "G473")	2
c("F3210", "N179", "X600", "T393", "T391")	2
c("F3210", "R452")	2
c("F3210", "S519", "X780")	2
c("F3210", "T436", "X610", "T424")	2
c("F3210", "X410", "T424")	2
c("F3210", "X600", "T391")	2
c("F3210", "X609", "T391", "F430")	2
c("F3210", "X610")	2
c("F3210", "X610", "T424", "F101")	2
c("F3210", "X610", "T438")	2
c("F3210", "Z911", "Z631", "F6030")	2
c("F3211", "E8718")	2
c("F3211", "F200")	2
c("F3211", "F419")	2
c("F3211", "F4322")	2
c("F3211", "F603")	2
c("F3211", "G20", "X610", "T424")	2
c("F3211", "R53+1")	2
c("F3211", "Z590", "S008", "R53+1")	2
c("F3211", "Z630", "X610", "T424")	2
c("F3211", "Z630", "X780", "S119")	2
c("F322", "D570")	2
c("F322", "E1198", "E785", "G473")	2
c("F322", "F101", "F431", "X610", "T424")	2
c("F322", "F101", "X619", "T432")	2
c("F322", "F1024", "Z590", "Z6028")	2
c("F322", "F121", "F101", "F411")	2
c("F322", "F200")	2
c("F322", "F2000")	2
c("F322", "F3131")	2
c("F322", "F321", "R53+1")	2
c("F322", "F3210")	2
c("F322", "F39")	2
c("F322", "F402")	2
c("F322", "F412")	2
c("F322", "F430")	2
c("F322", "F4322", "F432")	2
c("F322", "F6031", "Z9150")	2
c("F322", "F99")	2
c("F322", "R060", "B972", "Z9150")	2
c("F322", "R400", "X611", "T424")	2
c("F322", "R440")	2
c("F322", "R529")	2
c("F322", "R53+0")	2
c("F322", "S119", "X780", "C787")	2
c("F322", "S711", "X780")	2
c("F322", "T391", "X600")	2
c("F322", "T400", "X620")	2
c("F322", "T427", "X610", "X700")	2
c("F322", "T435", "X610", "F419", "Z608", "T424")	2
c("F322", "X600", "T391", "X610", "T424", "T432")	2
c("F322", "X610")	2
c("F322", "X611", "T424")	2
c("F322", "X618", "T435", "T432", "T424")	2
c("F322", "X619", "T424")	2
c("F322", "X619", "T426")	2
c("F322", "X640", "T455", "T464")	2
c("F322", "X649", "T509")	2
c("F322", "X670", "T58")	2
c("F322", "X702", "X780", "S717", "S517", "F6031")	2
c("F322", "X719", "F100")	2
c("F322", "X780", "S119")	2
c("F322", "X780", "S311", "S210", "S517")	2
c("F322", "X824", "S202")	2
c("F322", "Y912")	2
c("F322", "Z564", "X618", "T424")	2
c("F322", "Z564", "Z911", "F6031")	2
c("F322", "Z565", "Z9150")	2
c("F322", "Z599", "X609", "T390")	2
c("F322", "Z6028")	2
c("F322", "Z630", "F100")	2
c("F322", "Z630", "F100", "X830")	2
c("F322", "Z630", "X610", "T424")	2
c("F322", "Z630", "X611", "T424", "T432")	2
c("F322", "Z631", "T391", "X600")	2
c("F322", "Z634")	2
c("F322", "Z638")	2
c("F322", "Z638", "X610", "T424")	2
c("F322", "Z9150", "F131")	2
c("F322", "Z9150", "F430")	2
c("F322", "Z9150", "X7012")	2
c("F322", "Z9150", "Z630", "F430", "F316")	2
c("F323", "F322")	2
c("F323", "G258")	2
c("F323", "H900")	2
c("F323", "J690", "R490", "X690", "T549")	2
c("F323", "R442")	2
c("F323", "X600", "T391")	2
c("F323", "X610", "T424")	2
c("F323", "X620", "T402")	2
c("F323", "Z6030")	2
c("F323", "Z630", "Z9150")	2
c("F323", "Z9150")	2
c("F323", "Z9150", "Z630")	2
c("F3230", "F323")	2
c("F3230", "X610", "T439")	2
c("F3230", "Z9158")	2
c("F328", "F101", "F121", "F141", "Z651")	2
c("F328", "F3211")	2
c("F329", "F100", "Z631", "X610", "T424")	2
c("F329", "F101")	2
c("F329", "F109")	2
c("F329", "F143")	2
c("F329", "F258", "F251")	2
c("F329", "F3211")	2
c("F329", "F332")	2
c("F329", "F39")	2
c("F329", "F419", "X610", "T424")	2
c("F329", "F432", "X610", "T433")	2
c("F329", "F603")	2
c("F329", "F608", "X600", "T391")	2
c("F329", "G35", "R410", "X610", "T424")	2
c("F329", "M797", "T400", "X620", "R522")	2
c("F329", "R520")	2
c("F329", "R630")	2
c("F329", "S065")	2
c("F329", "S101", "X709")	2
c("F329", "S3200", "F6031", "X839", "S8230")	2
c("F329", "S390", "X824")	2
c("F329", "S519", "X780")	2
c("F329", "X610", "T424", "F419")	2
c("F329", "X610", "T424", "F432")	2
c("F329", "X610", "T432", "T424")	2
c("F329", "X619", "T424", "G409")	2
c("F329", "X649", "T455", "X780", "S519")	2
c("F329", "X690")	2
c("F329", "Z532", "X700", "S108")	2
c("F329", "Z598", "T391", "X600")	2
c("F329", "Z6020", "X610", "T424")	2
c("F329", "Z911", "F100")	2
c("F329", "Z911", "Z634", "X6009", "T391")	2
c("F329", "Z9150", "F200")	2
c("F329", "Z9150", "F6030")	2
c("F329", "Z9150", "X600")	2
c("F331", "F100")	2
c("F331", "F4321", "F4302", "F4322")	2
c("F331", "X780", "S519")	2
c("F331", "Z9150", "F101")	2
c("F3311", "E8768")	2
c("F3311", "F431")	2
c("F332", "F609", "F341")	2
c("F332", "T604", "X680")	2
c("F333", "E1198", "R268")	2
c("F339", "F101", "F412")	2
c("F339", "R400", "X610", "T424")	2
c("F339", "S519", "X780")	2
c("F339", "X780", "S519")	2
c("F3800", "F339")	2
c("F39", "Z590", "F101", "F151", "Z9158")	2
c("F410", "F419")	2
c("F410", "F430")	2
c("F410", "F432")	2
c("F410", "X610", "T424", "F322")	2
c("F411", "F121")	2
c("F411", "F209")	2
c("F411", "F258")	2
c("F411", "F319", "F429", "R471", "R290")	2
c("F411", "F332", "F4001")	2
c("F411", "F3800")	2
c("F411", "F4302")	2
c("F411", "F431")	2
c("F411", "F4322")	2
c("F411", "F609")	2
c("F411", "R440")	2
c("F411", "R462", "F122")	2
c("F411", "X600", "T391", "Z532")	2
c("F411", "X640", "T450")	2
c("F412", "F100")	2
c("F412", "F100", "Z6020", "X610", "T424", "T432")	2
c("F412", "F100", "Z616")	2
c("F412", "F100", "Z9150", "Z608")	2
c("F412", "F101", "F122", "T391", "X600")	2
c("F412", "F122")	2
c("F412", "F122", "F6031")	2
c("F412", "F131")	2
c("F412", "F500")	2
c("F412", "I10", "E1198")	2
c("F412", "R296")	2
c("F412", "R53+0")	2
c("F412", "X600", "T391")	2
c("F412", "X610", "X600", "F4302", "T424", "T391")	2
c("F412", "X619", "T435")	2
c("F412", "X700")	2
c("F412", "X789", "S619", "X619", "T424")	2
c("F412", "Z5910", "Y070", "F133", "F113", "F103")	2
c("F412", "Z6030", "Z630", "F101", "F141")	2
c("F412", "Z630", "X610", "T424", "F609")	2
c("F412", "Z630", "Z911")	2
c("F412", "Z635", "X610", "T435", "T424")	2
c("F412", "Z9150", "F3210")	2
c("F418", "F259")	2
c("F418", "F321")	2
c("F418", "Z634")	2
c("F419", "F100")	2
c("F419", "F101")	2
c("F419", "F131")	2
c("F419", "F230", "Z630", "F430")	2
c("F419", "F3201", "F329")	2
c("F419", "F322")	2
c("F419", "F323")	2
c("F419", "F411")	2
c("F419", "F429")	2
c("F419", "F430", "F329")	2
c("F419", "F431")	2
c("F419", "F452", "N459")	2
c("F419", "F510")	2
c("F419", "F608")	2
c("F419", "K566", "F200")	2
c("F419", "K599", "F605")	2
c("F419", "R410")	2
c("F419", "R410", "R440", "X610", "T424")	2
c("F419", "R440")	2
c("F419", "R452")	2
c("F419", "R529", "Z9150")	2
c("F419", "S517", "X789")	2
c("F419", "Y150")	2
c("F419", "Z6020", "Z9150", "F101", "F39")	2
c("F419", "Z637")	2
c("F421", "F419")	2
c("F422", "F951")	2
c("F430", "F03")	2
c("F430", "F067")	2
c("F430", "F100", "X610", "T432", "T424")	2
c("F430", "F1000")	2
c("F430", "F101", "F121", "F141", "Z651")	2
c("F430", "F120")	2
c("F430", "F2000")	2
c("F430", "F2004")	2
c("F430", "F231")	2
c("F430", "F259")	2
c("F430", "F3210")	2
c("F430", "F322")	2
c("F430", "F339", "Z631")	2
c("F430", "F422")	2
c("F430", "F432", "Z630")	2
c("F430", "F603", "Z631", "F140", "F602")	2
c("F430", "F6031", "F111", "X619", "T424")	2
c("F430", "F6031", "Z630")	2
c("F430", "F6031", "Z630", "X600", "T393")	2
c("F430", "F630", "Z9150", "F209")	2
c("F430", "F700")	2
c("F430", "F709", "Z631")	2
c("F430", "F845")	2
c("F430", "R104", "F12241")	2
c("F430", "R451")	2
c("F430", "S519", "X780")	2
c("F430", "T391", "X609", "Z630")	2
c("F430", "T432", "X610")	2
c("F430", "T433", "F609", "X610")	2
c("F430", "T743", "Z630", "X780", "S519")	2
c("F430", "T743", "Z638", "X600", "T391")	2
c("F430", "X600", "T391", "X610", "T424", "Z630")	2
c("F430", "X600", "T391", "Z630")	2
c("F430", "X600", "T391", "Z631")	2
c("F430", "X602", "T391")	2
c("F430", "X610", "T424", "F317")	2
c("F430", "X610", "T424", "Z630")	2
c("F430", "X610", "T433")	2
c("F430", "X610", "T433", "F209")	2
c("F430", "X619", "T439", "F603")	2
c("F430", "X690", "T543")	2
c("F430", "X832")	2
c("F430", "Z566", "Z9150")	2
c("F430", "Z590", "F121", "F101")	2
c("F430", "Z609")	2
c("F430", "Z610")	2
c("F430", "Z630", "X600", "T391", "X610", "T432", "T424", "F339")	2
c("F430", "Z630", "X619", "T424")	2
c("F430", "Z631", "F252")	2
c("F430", "Z635", "F709", "R456")	2
c("F430", "Z638", "F339", "X610", "T427")	2
c("F430", "Z638", "Z9150", "F29")	2
c("F430", "Z639", "X610", "T424")	2
c("F430", "Z653", "X619", "T424")	2
c("F430", "Z719")	2
c("F430", "Z911", "Z9150", "F630", "F603")	2
c("F430", "Z9150", "F329")	2
c("F430", "Z9150", "F603")	2
c("F430", "Z9150", "F6031")	2
c("F430", "Z9150", "F609")	2
c("F4300", "X610", "T424")	2
c("F4300", "Y049")	2
c("F4301", "F6031")	2
c("F4302", "F101", "Z630")	2
c("F4302", "F121", "F402", "Z631")	2
c("F4302", "F1904", "F69")	2
c("F4302", "F193", "Z6030")	2
c("F4302", "F200")	2
c("F4302", "F29")	2
c("F4302", "F321")	2
c("F4302", "F6031")	2
c("F4302", "F609", "F1424")	2
c("F4302", "F609", "Z911", "T432", "X610")	2
c("F4302", "R073")	2
c("F4302", "R443")	2
c("F4302", "R51", "Z634", "F101", "Z9150")	2
c("F4302", "S109", "X700", "Z630")	2
c("F4302", "T402", "X620")	2
c("F4302", "T424")	2
c("F4302", "V021")	2
c("F4302", "X610", "T435", "F412")	2
c("F4302", "X789", "S617", "F720", "F6031")	2
c("F4302", "Y099")	2
c("F4302", "Z6020")	2
c("F4302", "Z630", "F101")	2
c("F4302", "Z630", "Z9150", "F6030")	2
c("F4302", "Z631")	2
c("F4302", "Z631", "Z9150")	2
c("F4302", "Z719")	2
c("F431", "F411")	2
c("F431", "F603")	2
c("F431", "F609", "F321")	2
c("F431", "T424", "F141", "X610")	2
c("F431", "X600", "T391")	2
c("F431", "X610", "T426", "T433")	2
c("F431", "Z609")	2
c("F431", "Z9150")	2
c("F432", "F102")	2
c("F432", "F329")	2
c("F432", "F6030")	2
c("F432", "F607")	2
c("F432", "F711")	2
c("F432", "G409", "F709")	2
c("F432", "R451")	2
c("F432", "X600", "T391")	2
c("F432", "X600", "T391", "F192")	2
c("F432", "X610", "T427")	2
c("F432", "X614", "T391", "F321")	2
c("F432", "X620", "T402", "X600", "T393", "F3210")	2
c("F432", "Z004")	2
c("F432", "Z028")	2
c("F432", "Z562", "X610", "T424")	2
c("F432", "Z630", "F101", "Z9150")	2
c("F432", "Z630", "F321", "F430")	2
c("F4322", "F313")	2
c("F4322", "F321")	2
c("F4322", "F6030")	2
c("F4322", "R455", "Z911", "F101")	2
c("F4322", "X600", "T391", "F3210")	2
c("F4322", "X600", "T391", "X610", "T424")	2
c("F4322", "X610", "T432", "T424")	2
c("F4322", "X690", "Z634", "R451", "R410", "T424")	2
c("F4322", "Z6030", "R441", "F102", "R440")	2
c("F4322", "Z911", "Z532", "F101")	2
c("F4322", "Z9150")	2
c("F4323", "F321")	2
c("F4323", "Z630", "X610", "T424")	2
c("F4324", "X789", "S519", "F609")	2
c("F438", "X620", "T402")	2
c("F440", "Z634")	2
c("F445", "F300")	2
c("F489", "F220")	2
c("F500", "F419")	2
c("F502", "E43", "F500", "E8768", "R53+1")	2
c("F510", "F319")	2
c("F510", "Z911")	2
c("F530", "F321")	2
c("F54", "F200")	2
c("F602", "Z911", "X610", "T424")	2
c("F603", "F321")	2
c("F603", "T432")	2
c("F603", "T435", "X610")	2
c("F603", "X610", "T426")	2
c("F603", "X610", "T426", "T432", "T433")	2
c("F603", "X619", "T432")	2
c("F603", "Y150", "F1000")	2
c("F6030", "F100", "T391", "X600")	2
c("F6030", "F131", "F101", "X789", "S619")	2
c("F6030", "F329")	2
c("F6030", "F4302")	2
c("F6030", "R451", "F121", "F101")	2
c("F6030", "R53+0")	2
c("F6030", "X780")	2
c("F6030", "X789")	2
c("F6030", "X789", "Z532")	2
c("F6030", "Z9150", "X600")	2
c("F6030", "Z9158", "F1204")	2
c("F6031", "F120")	2
c("F6031", "F141", "X610", "Z631", "T433")	2
c("F6031", "F321")	2
c("F6031", "F412")	2
c("F6031", "F430")	2
c("F6031", "F609", "F3210")	2
c("F6031", "F630", "X610", "T424")	2
c("F6031", "F918")	2
c("F6031", "T424")	2
c("F6031", "X629", "T402", "Z598", "Z630")	2
c("F6031", "Z630", "Z9150", "F329")	2
c("F6031", "Z631", "X609", "T391")	2
c("F6031", "Z638", "X610", "T424")	2
c("F607", "F431", "T424", "X619")	2
c("F608", "F131", "F101")	2
c("F608", "Z590")	2
c("F609", "F121", "F132", "F141", "F102")	2
c("F609", "F1406")	2
c("F609", "F200")	2
c("F609", "F29")	2
c("F609", "F3210")	2
c("F609", "F418")	2
c("F609", "F4321", "F102", "F4322")	2
c("F609", "F649")	2
c("F609", "F700")	2
c("F609", "R104")	2
c("F609", "R451", "Y911")	2
c("F609", "R451", "Z608", "X600", "T391")	2
c("F609", "R458", "F102")	2
c("F609", "X600", "T391", "F101")	2
